Event/Description,EstMH (All),Interval,MH_j,max_interval
EO-AOT-A32N033-24-1/REPETITIVE INSPECTION OF AFFECTED MLG DOOR ACTUATORS PN 114122015,0 days 01:30:00,8 D,1.5,200
EO-AOT-A32N033-24-1/REPETITIVE INSPECTION OF AFFECTED MLG DOOR ACTUATORS PN 114122015,0 days 01:30:00,8 D,1.5,200
"HE32-381000-01-1 (R0002)/P60306 / DISINFECTION OF POTABLE WATER SYSTEM AND DISCARD THE WATER FILTER ELEMENTS, IF INSTALL",0 days 07:08:00,91 D,7.133333333333334,200
EOI-49-0004/W1681523 /P60459 /[131-9A] APU VISUAL INSPECTION AND OIL SERVICE,0 days 01:35:00,40 D,1.5833333333333335,200
HE32-383100-06-1 (R0004) / CLEAN THE VACUUM WASTE LINES WITH CHEMICAL CLEANING AGENT AND CRUSHED ICE,0 days 01:42:00,150,1.7,150
HE32-383100-06-1 (R0004) / CLEAN THE VACUUM WASTE LINES WITH CHEMICAL CLEANING AGENT AND CRUSHED ICE,0 days 01:42:00,150,1.7,150
HE32-383100-06-1 (R0004)/P60680 / CLEAN THE VACUUM WASTE LINES WITH CHEMICAL CLEANING AGENT AND CRUSHED ICE,0 days 01:42:00,150,1.7,150
HE32-242400-01-2 (R0004) / OPERATIONAL CHECK OF EMERGENCY GENERATING SYSTEM,0 days 00:50:00,120,0.8333333333333334,120
HE32-242400-01-2 (R0004) / OPERATIONAL CHECK OF EMERGENCY GENERATING SYSTEM,0 days 00:50:00,120,0.8333333333333334,120
"HE32-279000-05-1 (R0003) / OPERATIONAL CHECK OF LOGICS ACTIVATING ELAC 1, ELAC 2 AND SEC.1 STANDBY POWER SUPPLIES",0 days 01:19:00,400,1.3166666666666667,400
HE32-242400-01-2 (R0004) / OPERATIONAL CHECK OF EMERGENCY GENERATING SYSTEM,0 days 00:50:00,120,0.8333333333333334,120
"HE32-242000-23-1-01 (R0005)/P60264 / DISCARD NO.1 IDG SCAVENGE AND CHARGE FILTERS, DRAIN AND REPLENISH OIL SYSTEM",0 days 03:15:00,800,3.25,800
EOI-49-0004/W1684940 /P60499 /[131-9A] APU VISUAL INSPECTION AND OIL SERVICE,0 days 01:35:00,40 D,1.5833333333333335,200
"HE32-242000-23-1-01 (R0005)/P60314 / DISCARD NO.1 IDG SCAVENGE AND CHARGE FILTERS, DRAIN AND REPLENISH OIL SYSTEM",0 days 03:15:00,800,3.25,800
HE32-242400-01-2 (R0004) / OPERATIONAL CHECK OF EMERGENCY GENERATING SYSTEM,0 days 00:50:00,120,0.8333333333333334,120
HE32-272400-01-1 (R0004) / OPERATIONAL CHECK OF RUDDER SERVOCONTROLS WITH INDIVIDUAL HYDRAULIC SYSTEMS,0 days 00:30:00,750,0.5,750
"HE32-279000-05-1 (R0003) / OPERATIONAL CHECK OF LOGICS ACTIVATING ELAC 1, ELAC 2 AND SEC.1 STANDBY POWER SUPPLIES",0 days 01:19:00,400,1.3166666666666667,400
HE32-242400-01-2 (R0004) / OPERATIONAL CHECK OF EMERGENCY GENERATING SYSTEM,0 days 00:50:00,120,0.8333333333333334,120
HE32-383100-06-1 (R0004) / CLEAN THE VACUUM WASTE LINES WITH CHEMICAL CLEANING AGENT AND CRUSHED ICE,0 days 01:42:00,150,1.7,150
EO-PW-79-0034/W1583812 /P60498 /REPETITIVE INSPECTION AND TORQUE CHECK OF THE MGB AND AGB TUBE BOSS,0 days 05:30:00,1'500,5.5,200
HE32-291000-14-1 (R0003) / CHECK NITROGEN CHARGE PRESSURE ON HYDRAULIC POWER ACCUMULATORS,0 days 00:44:00,600,0.7333333333333333,600
HE32-383100-06-1 (R0004) / CLEAN THE VACUUM WASTE LINES WITH CHEMICAL CLEANING AGENT AND CRUSHED ICE,0 days 01:42:00,150,1.7,150
REPLACE 416526/202200358/W1548018 (BATTERY),0 days 02:06:00,,2.1,200
EOI-49-0004/W1685560 /[131-9A] APU VISUAL INSPECTION AND OIL SERVICE,0 days 01:35:00,40 D,1.5833333333333335,200
EOI-49-0004/W1685618 /[131-9A] APU VISUAL INSPECTION AND OIL SERVICE,0 days 01:35:00,40 D,1.5833333333333335,200
18903 (0) / B-LAE/RI-LM/BDD013/#2 ENG COMBUSTION CHAMBER FOUND CRACK,0 days 02:00:00,375,2.0,375
18907 (0) / B-LAE/RI-LM/BDD015/#2 ENG COMBUSTION CHAMBER FOUND CRACK,0 days 02:00:00,375,2.0,375
18909 (0) / B-LAE/RI-LM/BDD016/#2 ENG COMBUSTION CHAMBER FOUND CRACK,0 days 02:00:00,375,2.0,375
B-LAE/BDD009/RI-LM/#2ENG CC BSI (0) / B-LAE/BDD009/RI-LM/#2ENG COMUSTION CHAMBER BSI,0 days 01:00:00,375,1.0,375
B-LAE/BDD010/RI-LM/#2ENG 772226 CC BSI (0) / B-LAE/BDD010/RI-LM/#2ENG 772226 COMBUSTION CHAMBER BSI,0 days 01:00:00,375,1.0,375
EO-PW-73-0020/W1563969 /P60521 /REPETITIVE REPLACEMENT OF THE MAIN FUEL FILTER (PW1100G),0 days 04:00:00,1'700,4.0,200
EO-A320-56-1023/W1543224 /WINDOWS - FIXED WINDOWS - INSPECTION OF FRONT WINDSHIELD,0 days 03:15:00,730 D,3.25,200
EOA32-24-0016/W1400311 /APPLY TEMPORARY PROTECTION TO END FITTINGS OF A32 SERIES AIRCRAFT OF E,0 days 01:20:00,36 MT,1.3333333333333333,200
HE32-200435-02-1-01 (R0003) / DETAILED INSPECTION OF EWIS INSTALLED IN THE FAN COMPARTMENT OF NO.1 ENG (EWIS),0 days 00:40:00,730 D,0.6666666666666666,200
HE32-200435-02-1-02 (R0003) / DETAILED INSPECTION OF EWIS INSTALLED IN THE FAN COMPARTMENT OF NO.2 ENG (EWIS),0 days 00:40:00,730 D,0.6666666666666666,200
HE32-200453-02-1-01 (R0003) / DETAILED INSPECTION OF EWIS INSTALLED IN THE CORE COMPARTMENT OF NO.1 ENG (EWIS),0 days 01:12:00,730 D,1.2,200
HE32-200453-02-1-02 (R0003) / DETAILED INSPECTION OF EWIS INSTALLED IN THE CORE COMPARTMENT OF NO.2 ENG (EWIS),0 days 01:12:00,730 D,1.2,200
HE32-291000-25-1 (R0001) / OPERATIONAL CHECK OF PORT D CHECK VALVE OF PTU MANIFOLD IN GREEN AND YELLOW HYDRAULIC SYSTEM,0 days 05:30:00,,5.5,200
HE32-ZL-435-02-1-01 (R0003) / GENERAL VISUAL INSPECTION OF FAN COMPARTMENT OF NO.1 ENG (EWIS),0 days 00:25:00,730 D,0.4166666666666667,200
HE32-ZL-435-02-1-02 (R0003) / GENERAL VISUAL INSPECTION OF FAN COMPARTMENT OF NO.2 ENG (EWIS),0 days 00:25:00,730 D,0.4166666666666667,200
EO-PW-72-0193/W1614618 /TUBE ASSEMBLY; OIL; NO. 4 BEARING(LR111); SCAVENGE - EXAMINE THE NO. 4,0 days 02:10:00,1'000,2.1666666666666665,200
B-LAE/BDD011/RI-LM/#2 ENG HPT BLADE INSP (0) / B-LAE/BDD011/RI-LM/#2 ENG (P772226) HPT STG1 T/E BLADES INSP,0 days 01:00:00,675,1.0,675
"HE32-242000-23-1-02 (R0005) / DISCARD NO.2 IDG SCAVENGE AND CHARGE FILTERS, DRAIN AND REPLENISH OIL SYSTEM",0 days 03:15:00,800,3.25,800
EO-PW-79-0034/W1587604 /REPETITIVE INSPECTION AND TORQUE CHECK OF THE MGB AND AGB TUBE BOSS,0 days 05:30:00,1'500,5.5,200
EO-PW-79-0034/W1588427 /REPETITIVE INSPECTION AND TORQUE CHECK OF THE MGB AND AGB TUBE BOSS,0 days 05:30:00,1'500,5.5,200
EOI-79-0001/W1690464 /DO A REPETITIVE INSPECTION AND TORQUE CHECK OF,0 days 04:30:00,150,4.5,150
"HE32-381000-01-1 (R0002) / DISINFECTION OF POTABLE WATER SYSTEM AND DISCARD THE WATER FILTER ELEMENTS, IF INSTALLED",0 days 07:08:00,91 D,7.133333333333334,200
18905 (0) / B-LAE/RI-LM/BDD014/#2 ENG COMBUSTION CHAMBER FOUND CRACK,0 days 02:00:00,750,2.0,750
EO-PW-72-0193/W1618476 /TUBE ASSEMBLY; OIL; NO. 4 BEARING(LR111); SCAVENGE - EXAMINE THE NO. 4,0 days 02:10:00,1'000,2.1666666666666665,200
HE32-291000-14-1 (R0003) / CHECK NITROGEN CHARGE PRESSURE ON HYDRAULIC POWER ACCUMULATORS,0 days 00:44:00,600,0.7333333333333333,600
EOI-49-0004/W1690469 /[131-9A] APU VISUAL INSPECTION AND OIL SERVICE,0 days 01:35:00,40 D,1.5833333333333335,200
"HE32-279000-05-1 (R0003) / OPERATIONAL CHECK OF LOGICS ACTIVATING ELAC 1, ELAC 2 AND SEC.1 STANDBY POWER SUPPLIES",0 days 01:19:00,400,1.3166666666666667,400
